Title,Description,Author,Rating,Num Ratings,Price,Language,Length,Cover Image,URL
King of Duels,"The Wandering Inn, Book 16",pirateaba,,Not rated yet,$59.99,"Language:
                                      English",34 hrs and 10 mins,https://m.media-amazon.com/images/I/51IGcxappGL._SL500_.jpg,https://www.audible.com/pd/King-of-Duels-Audiobook/B0F6VVC8QX?qid=1746651088&sr=1-1&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_1
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),"The Empyrean, Book 3",Rebecca Yarros,,Not rated yet,$20.00,"Language:
                                      English",9 hrs,https://m.media-amazon.com/images/I/51I9Z8QbljL._SL500_.jpg,https://www.audible.com/pd/Onyx-Storm-Part-2-of-2-Dramatized-Adaptation-Audiobook/B0F6G83NST?qid=1746651088&sr=1-2&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_2
Path of the Berserker 4: A Daopocalypse Progression Fantasy,"Path of the Berserker, Book 4",Rick Scott,4.5 out of 5 stars,22 ratings,$49.90,"Language:
                                      English",15 hrs and 32 mins,https://m.media-amazon.com/images/I/517UHOximSL._SL500_.jpg,https://www.audible.com/pd/Path-of-the-Berserker-4-A-Daopocalypse-Progression-Fantasy-Audiobook/B0F393V9KW?qid=1746651088&sr=1-3&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_3
Amber the Cursed Berserker: Book 2,A LitRPG Adventure,V.A. Lewis,5 out of 5 stars,4 ratings,$34.94,"Language:
                                      English",21 hrs and 52 mins,https://m.media-amazon.com/images/I/51HIQIpQ+ZL._SL500_.jpg,https://www.audible.com/pd/Amber-the-Cursed-Berserker-Book-2-Audiobook/B0F56QC6KW?qid=1746651088&sr=1-4&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_4
Sequel.exe,"Industrial Strength Magic, Book 2",Macronomicon,5 out of 5 stars,5 ratings,$29.95,"Language:
                                      English",20 hrs and 55 mins,https://m.media-amazon.com/images/I/51EImtnlmAL._SL500_.jpg,https://www.audible.com/pd/Sequelexe-Audiobook/B0F5QY7X9B?qid=1746651088&sr=1-5&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_5
Archangel's Ascension,"Guild Hunter, Book 17",Nalini Singh,4.5 out of 5 stars,8 ratings,$17.49,"Language:
                                      English",11 hrs and 44 mins,https://m.media-amazon.com/images/I/41dDqnxWZNL._SL500_.jpg,https://www.audible.com/pd/Archangels-Ascension-Audiobook/B0F3B3JXQ6?qid=1746651088&sr=1-6&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_6
Bright Red Line,"Backyard Starship, Book 22",J.N. Chaney,,Not rated yet,$33.90,"Language:
                                      English",10 hrs and 15 mins,https://m.media-amazon.com/images/I/51S08sZN30L._SL500_.jpg,https://www.audible.com/pd/Bright-Red-Line-Audiobook/B0F75MDF51?qid=1746651088&sr=1-7&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_7
Fahrenheit 451,A Novel,Ray Bradbury,4.5 out of 5 stars,3 ratings,$14.24,"Language:
                                      English",4 hrs and 36 mins,https://m.media-amazon.com/images/I/41IA39DcudL._SL500_.jpg,https://www.audible.com/pd/Fahrenheit-451-Audiobook/B0F4TCT1GK?qid=1746651088&sr=1-9&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_9
The Golden Goblin,A Spellmonger Novel,Terry Mancour,,Not rated yet,$49.90,"Language:
                                      English",19 hrs,https://m.media-amazon.com/images/I/51kIl8rBhmL._SL500_.jpg,https://www.audible.com/pd/The-Golden-Goblin-Audiobook/B0F514WLWD?qid=1746651088&sr=1-10&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_10
The Strength of the Few,"Hierarchy, Book 2",James Islington,,Not rated yet,$49.95,"Language:
                                      English",Not Yet Known,https://m.media-amazon.com/images/I/41tXxOH5Y4L._SL500_.jpg,https://www.audible.com/pd/The-Strength-of-the-Few-Audiobook/B0F6F26LSS?qid=1746651088&sr=1-12&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_12
