Title,Author,Narrator,Length,Release Date,Language
King of Duels,"By:
                                    pirateaba","Narrated by:
                                      Erin Bennett",34 hrs and 10 mins,"Release date:
                                    07-29-25","Language:
                                      English"
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    07-02-25","Language:
                                      English"
Path of the Berserker 4: A Daopocalypse Progression Fantasy,"By:
                                    Rick Scott","Narrated by:
                                      Wayne Mitchell",15 hrs and 32 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Amber the Cursed Berserker: Book 2,"By:
                                    V.A. Lewis, Azrie","Narrated by:
                                      Tara Sands",21 hrs and 52 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Archangel's Ascension,"By:
                                    Nalini Singh","Narrated by:
                                      Justine Eyre",11 hrs and 44 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Sequel.exe,"By:
                                    Macronomicon","Narrated by:
                                      Steve Campbell, Jeff Hays, Justin Thomas James, Annie Ellicott, Laurie Catherine Winkel, Andrea Parsneau",20 hrs and 55 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Bright Red Line,"By:
                                    J.N. Chaney, Terry Maggert","Narrated by:
                                      Jeffrey Kafer",10 hrs and 15 mins,"Release date:
                                    07-01-25","Language:
                                      English"
Flybot,"By:
                                    Dennis E. Taylor","Narrated by:
                                      Ray Porter",9 hrs and 37 mins,"Release date:
                                    06-26-25","Language:
                                      English"
Fahrenheit 451,"By:
                                    Ray Bradbury","Narrated by:
                                      Penn Badgley",4 hrs and 36 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Golden Goblin,"By:
                                    Terry Mancour","Narrated by:
                                      John Lee",19 hrs,"Release date:
                                    07-15-25","Language:
                                      English"
An Enforcer of Havilah,"By:
                                    Robert W. Ross","Narrated by:
                                      Autumn Juliet, Nick Podehl",12 hrs and 51 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Reckoning,"By:
                                    Michael R. Miller","Narrated by:
                                      Peter Kenny",24 hrs,"Release date:
                                    09-15-25","Language:
                                      English"
Control,"By:
                                    Sean Oswald","Narrated by:
                                      Travis Baldree",15 hrs and 44 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Crown of Gilded Bones (Part 2 of 2) (Dramatized Adaptation),"By:
                                    Jennifer L. Armentrout","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    06-30-25","Language:
                                      English"
Of Ancients Unbound,"By:
                                    T.C. Edge","Narrated by:
                                      Steven Brand",42 hrs and 43 mins,"Release date:
                                    05-20-25","Language:
                                      English"
Shield of Sparrows,"By:
                                    Devney Perry","Narrated by:
                                      Samantha Brentmoor, Jason Clarke",19 hrs and 51 mins,"Release date:
                                    05-06-25","Language:
                                      English"
A Court of Wings and Ruin (10th Anniversary Recording),"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",20 hrs and 49 mins,"Release date:
                                    05-30-25","Language:
                                      English"
Rage World,"By:
                                    B.V. Larson","Narrated by:
                                      Mark Boyett",12 hrs and 18 mins,"Release date:
                                    07-01-25","Language:
                                      English"
A Court of Thorns and Roses (10th Anniversary Recording),"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",14 hrs and 4 mins,"Release date:
                                    05-30-25","Language:
                                      English"
Quest for the Holy Rabbit,"By:
                                    Nelson Chereta","Narrated by:
                                      Gary Furlong",5 hrs and 53 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Silver Elite,"By:
                                    Dani Francis","Narrated by:
                                      Amanda Dolan",19 hrs and 11 mins,"Release date:
                                    05-06-25","Language:
                                      English"
A Court of Mist and Fury (10th Anniversary Recording),"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",19 hrs and 35 mins,"Release date:
                                    05-30-25","Language:
                                      English"
The First Peacemaker,"By:
                                    J.N. Chaney, Aaron Bunce, Terry Maggert","Narrated by:
                                      Jeffrey Kafer",13 hrs,"Release date:
                                    05-06-25","Language:
                                      English"
A Court of Frost and Starlight (10th Anniversary Recording),"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",6 hrs and 5 mins,"Release date:
                                    05-30-25","Language:
                                      English"
"Unintended Cultivator, Volume Six","By:
                                    Eric Dontigney","Narrated by:
                                      Adam Verner",14 hrs and 12 mins,"Release date:
                                    07-08-25","Language:
                                      English"
He Who Fights with Monsters 12: A LitRPG Adventure,"By:
                                    Shirtaloon, Travis Deverell","Narrated by:
                                      Heath Miller",19 hrs and 26 mins,"Release date:
                                    05-20-25","Language:
                                      English"
Isles of the Emberdark,"By:
                                    Brandon Sanderson","Narrated by:
                                      Kaleo Griffith, Jennifer Jill Araya",16 hrs and 51 mins,"Release date:
                                    11-01-25","Language:
                                      English"
Protector of the Grove: An Apocalypse LitRPG,"By:
                                    Nicholas Searcy","Narrated by:
                                      Eric Jason Martin",20 hrs and 7 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Academy of Outcasts,"By:
                                    Larry Correia","Narrated by:
                                      Garrett Michael Brown",12 hrs and 55 mins,"Release date:
                                    10-07-25","Language:
                                      English"
"The End of The End (Zombie Fallout, Book 25)","By:
                                    Mark Tufo","Narrated by:
                                      Sean Runnette",Not Yet Known,"Release date:
                                    07-22-25","Language:
                                      English"
A Brief History of Chronomancy,"By:
                                    Andrew Rowe","Narrated by:
                                      Nick Podehl",15 hrs and 14 mins,"Release date:
                                    07-22-25","Language:
                                      English"
My Quiet Blacksmith Life in Another World: Volume 7,"By:
                                    Tamamaru","Narrated by:
                                      Greg Chun",8 hrs and 23 mins,"Release date:
                                    05-27-25","Language:
                                      English"
A Darkness So Sweet,"By:
                                    Emma Hamm","Narrated by:
                                      Nina Yndis, Will Thorne",13 hrs and 13 mins,"Release date:
                                    05-06-25","Language:
                                      English"
A Court of Silver Flames (10th Anniversary Recording),"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",22 hrs and 55 mins,"Release date:
                                    05-30-25","Language:
                                      English"
Fairydale,"By:
                                    Veronica Lancet","Narrated by:
                                      Rylee Kuberra, Christian J. Gilliland",31 hrs and 36 mins,"Release date:
                                    05-20-25","Language:
                                      English"
On Wings of Blood,"By:
                                    Briar Boleyn","Narrated by:
                                      Hannah Hedley, Justin Hill",19 hrs and 14 mins,"Release date:
                                    05-27-25","Language:
                                      English"
Installment Immortality,"By:
                                    Seanan McGuire","Narrated by:
                                      Emily Bauer",14 hrs,"Release date:
                                    05-13-25","Language:
                                      English"
The Book of Evelyn,"By:
                                    Geraldine Bonner","Narrated by:
                                      MJ Rodriguez",7 hrs and 37 mins,"Release date:
                                    04-16-25","Language:
                                      English"
Hand of Fate,"By:
                                    J.N. Chaney, Terry Maggert","Narrated by:
                                      Jeffrey Kafer",10 hrs and 14 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Odyssey,"By:
                                    Stephen Fry","Narrated by:
                                      Stephen Fry",10 hrs and 37 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Ghostsong,"By:
                                    pirateaba","Narrated by:
                                      Andrea Parsneau",20 hrs and 41 mins,"Release date:
                                    05-13-25","Language:
                                      English"
How to Tame Your Dragon Girlfriends: Volume 1 (Light Novel),"By:
                                    Brandon Varnell","Narrated by:
                                      Amber Hartt, GM Hakim",7 hrs and 38 mins,"Release date:
                                    05-06-25","Language:
                                      English"
"Ruinous Return, Book 2","By:
                                    SerasStreams","Narrated by:
                                      Hannah Trusty",21 hrs and 37 mins,"Release date:
                                    05-05-25","Language:
                                      English"
Wicked,"By:
                                    Gregory Maguire","Narrated by:
                                      Cynthia Erivo",13 hrs and 38 mins,"Release date:
                                    07-01-25","Language:
                                      English"
The Arcane Lord Omnibus: Books 1-3,"By:
                                    Marcus Sloss, Alex Prone","Narrated by:
                                      Amber Hartt",27 hrs and 41 mins,"Release date:
                                    05-05-25","Language:
                                      English"
Skill Thief,"By:
                                    KamikazePotato","Narrated by:
                                      Wayne Mitchell",20 hrs and 6 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Legion,"By:
                                    Suzanne Wright","Narrated by:
                                      Cat Doucette",10 hrs,"Release date:
                                    07-17-25","Language:
                                      English"
"Azarinth Healer, Book Five","By:
                                    Rhaegar","Narrated by:
                                      Andrea Parsneau",20 hrs and 18 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Mei's Quest,"By:
                                    Jerry Boyd","Narrated by:
                                      Chris Ciulla",8 hrs and 7 mins,"Release date:
                                    05-06-25","Language:
                                      English"
It Takes a Psychic,"By:
                                    Jayne Castle","Narrated by:
                                      Barbara Rosenblat",10 hrs and 15 mins,"Release date:
                                    06-03-25","Language:
                                      English"
The First Family,"By:
                                    Granger","Narrated by:
                                      Trei Taylor, Avery Waddell",15 hrs and 48 mins,"Release date:
                                    05-13-25","Language:
                                      English"
The Silent Archmage,"By:
                                    Ghost Flower","Narrated by:
                                      Luke Daniels",8 hrs and 55 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Seven Rings,"By:
                                    Nora Roberts","Narrated by:
                                      Brittany Pressley",14 hrs and 30 mins,"Release date:
                                    11-18-25","Language:
                                      English"
Fulgrim: The Perfect Son,"By:
                                    Jude Reid","Narrated by:
                                      Andrew James Spooner",9 hrs and 57 mins,"Release date:
                                    04-26-25","Language:
                                      English"
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      Robb Moreira, Torian Brackett, k'Lai Rivera, Gabriel Michael, Megan Poppy, LaMont Ridgell, Rayner Gabriel, Troy Allan, Laura C. Harris, Khaya Fraites, Taylor Coan",9 hrs and 41 mins,"Release date:
                                    05-07-25","Language:
                                      English"
Eclipsed Empire,"By:
                                    Tessa Hale","Narrated by:
                                      Vanessa Moyen, Connor Crais, Jason Clarke, JF Harding, Shane East, Teddy Hamilton",2 mins,"Release date:
                                    07-16-25","Language:
                                      English"
Magic Triumphs (Dramatized Adaptation),"By:
                                    Ilona Andrews","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    05-20-25","Language:
                                      English"
